key,som_key,lon,lat
B22E0095001,571,247840.0,523260.0
VILT007001,2324,192557.0,410444.0
B29A0066001,292,265138.46,491536.99
B26H0276002,2956,173660.0,482407.0
B39H0312001,1203,171821.18,426709.62
SANG012001,2692,173303.0,382453.0
B28F0342001,234,252146.85,492039.27
B45G0241001,2487,167472.0,408494.0
B28H0617001,1974,255157.1561,483474.8755
TONG004001,2381,182196.0,414306.0
B17A0098001,391,220520.0,547680.0
B17D1435001,2180,237690.0,525949.0
B17C1757001,2000,224289.0,532911.0
B34F1468001,2999,256769.61,474792.81
21FP9012001,128,216138.0,518577.0
B43E0290001,242,87419.0,421319.0
B28H0604001,229,255349.67,484706.86
B34D0360001,2153,238500.0,460350.0
B38E1620001,181,128017.0,448887.0
B28H0448001,522,251376.98,478380.65
B17B0096001,702,234270.0,546860.0
B28F0164001,2217,251562.15,491151.81
PEVE010_2001,657,186938.0,379454.0
21EC307A001,1401,203729.0,517158.0
B28A0103001,978,228500.36,491933.0
B32G0382001,498,167279.45,455677.72
B26H0465001,2539,177131.0,480417.0
B41A0097001,2805,222537.32,439698.36
B41E0431001,1011,241906.4,441464.01
B17D0197001,47,238037.0,533699.0
B39H0384001,962,176081.387,437034.7004
LAAR006001,2562,186154.0,413261.0
B31D1423001,18,115757.0,459286.0
B43H0256001,667,92886.0,404009.0
B17D1455001,1719,235268.0,533206.0
B17D0030001,2206,238870.0,534720.0
B17D0181001,2206,235586.0,533272.0
B46C0118001,2317,188896.0,405642.0
B32B0257001,1871,157725.0,463891.0
B45F0281001,862,177399.0,418154.0
B27D0519001,2450,193892.73,479976.02
LAAR007001,2614,185936.0,413388.0
21CC810A001,261,188735.0,502260.0
B41E0243001,657,243030.55,443867.02
B22C0549001,2602,227909.65,500984.34
B46B0693001,1200,194614.0,419572.0
10-640002,973,55173.0,426965.0
10-708001,2520,55350.0,427835.0
B34B0427001,2519,238350.0,463560.0
BUND001001,2519,174718.0,390270.0
B27D0488001,2591,196356.0,486438.0
B27A0223001,2891,188300.0,490690.0
B45F0653001,2869,178012.0,414142.0
B34B0434001,2458,234780.0,465260.0
B34F1459001,2759,255231.62,474487.57
B34B0249001,761,235180.0,464670.0
B33B0328001,2010,195520.0,472685.0
10-703001,1627,55218.0,427531.0
B45G0269002,2741,168326.0,409330.0
B32H0401001,1301,172059.85,457461.43
B27A0244001,814,185678.2107,490891.6532
B27A0120001,2945,187160.0,490300.0
B27D0148001,2289,194600.0,484850.0
B32E0167001,691,168020.0,473600.0
B45H0228001,2974,176402.0,400974.0
B32E0205001,1119,169050.0,472340.0
B41E0426001,719,240493.27,442627.88
B32E1079001,2224,168510.0,474072.0
B27D0487001,2649,195760.0,486411.0
B26G1790001,993,168433.0,481039.0
10-697001,2127,57717.0,428107.0
B32E0078001,999,169620.0,471930.0
B27D0384001,2475,196650.0,486390.0
B27D0134001,1062,192590.0,484900.0
B28D1744001,1118,235764.43,484168.54
B22C0567001,266,223530.18,507267.41
B41A0095001,2929,224140.0,442550.0
22CG108C001,2186,221650.0,504245.0
B34E0317001,2334,241070.0,464790.0
B57F0061001,415,177643.0,373415.0
GROO008001,592,181949.0,372890.0
B29A0065001,530,266597.02,492086.09
ASTE010001,712,185274.0,379787.0
B41D0049001,647,235487.41,435519.34
SANG007001,2635,173725.0,382310.0
B28A0005002,147,223024.0,492449.0
B33F0166001,989,217970.0,469280.0
B29A0056001,470,264748.57,494835.22
B34B0439001,223,236680.0,464250.0
B52C0468001,2992,185146.0,386490.0
B41B0211001,287,236215.6,449211.4
B07C1799001,1335,226099.0,577336.0
ASTE007001,2756,182245.0,380818.0
B33H0209001,2987,219710.0,459740.0
22CG312E001,507,223256.0,500903.0
B46A1649001,2987,184622.0,421314.0
B39H0411001,1320,170214.0,431301.0
B46C0253001,2796,182218.0,402720.0
B34C0191001,2518,226840.0,455000.0
B32A0392001,2760,142819.0,472943.0
B45G0269001,2740,168326.0,409330.0
B27A0435001,1094,184180.0,490910.0
28CG29C001,212,222470.0,478852.0
B27A0270001,854,186430.0,491920.0
B27D0338001,94,195297.863,476911.4185
28CG07K001,271,220946.0,480582.0
B33B0490001,644,195578.16,464335.59
B27B0287001,2951,191970.0,492980.0
27HC004A001,1049,210560.0,483710.0
10-686001,1627,55113.0,427717.0
B26G0306001,2660,168661.82,481267.1
ASTE009001,711,183391.0,380454.0
B52A0214001,2970,182872.0,398290.0
B32E0216001,1357,168040.0,467760.0
B07C1805001,1335,226231.0,577111.0
B34C0108001,333,224027.25,460698.66
B22C0553001,2236,220943.48,500582.36
B31F0283001,2776,139230.0,468258.0
B34C0245001,1541,228870.0,457410.0
B27D0094001,455,195816.02,482101.93
B34C0246001,2507,226027.23,458607.61
B32C0611001,2834,143403.0,458545.0
B34C0248001,162,227016.41,457045.51
GROO006001,592,181985.0,372773.0
B34C0322001,400,225801.0,456201.0
B28F1311001,354,250622.4,495676.75
B52A0217001,2795,183176.0,396927.0
B34C0215001,397,224426.71,462272.58
B34B0471001,42,234551.0,465997.0
MV003.230001,165,235805.0,529725.0
B51H0177001,2411,174937.0,382737.0
B34C0189001,2457,229077.3451,456008.3847
B17C0396001,1656,225745.0,535547.0
B45F0652001,1202,174033.0,421841.0
B17D0071001,2396,238540.0,530600.0
B28H0454001,1913,252305.46,477580.85
B17C0173001,1419,226660.0,531600.0
B28B0071001,1355,230239.67,491008.89
