key,som_key,lon,lat
B58G0147001,2523,206700.0,354950.0
B33D0193001,2825,193690.0,459880.0
B33A0200001,2945,186736.1,474208.16
B33D0120001,2223,199120.0,455500.0
B52B0344002,959,197535.0,389890.0
Hupsel Camping_650_FT1_WATHTE_m_NAP_GW_DagGem001,2516,241141.0,454547.0
B49H0010001,1870,99794.0,387112.0
B51D1852001,1012,154042.0,375105.0
B52G2960001,2265,206246.0,382901.0
5210001,817,102054.0,389876.0
B49F0558002,204,94131.0,399755.0
B50G0150002,1551,120047.0,381459.0
2146001,728,125745.0,411255.0
B44H0041002,2139,131723.0,401052.0
B57A0067001,2633,148106.0,370333.0
B51F0274001,2499,179994.0,395798.0
B57B0298001,2570,158510.0,366045.0
2092_PBF2002,152,128306.0,411307.0
B52C2091001,1314,188240.0,379829.0
B45B0274001,1899,157233.0,413278.0
B34C1039001,413,225970.0,460848.0
B46D1488001,241,194741.0,412020.0
B52D1989001,1257,192810.0,381806.0
B50E0379001,1210,124539.0,396092.0
B52D2111001,1738,191291.0,384217.0
B52G2949001,362,208229.0,381892.0
B27H0027001,1880,210586.42,477902.04
B57A0345001,2692,145800.0,371500.0
B33H1404001,1745,213682.0,461808.0
2014_PBF001,1579,126388.0,411199.0
B11H0022001,879,215375.0,551875.0
B46A1592001,181,184040.0,418970.0
5353_PBF001,42,95856.0,398918.0
B22C0108001,166,222565.66,509007.48
B52E3232001,56,208086.0,390548.0
B57E0098002,776,167540.0,367851.0
B40G1173001,1024,200793.0,434993.0
B39F2978001,1726,178327.0,444469.0
5234001,346,108269.0,395326.0
5331001,405,109693.0,394362.0
2126_PBF001,152,128038.0,411462.0
2142001,623,127191.0,411366.0
B58G0406001,360,203972.0,351193.0
5187001,858,115212.0,394265.0
B51B0295001,1807,152864.0,394121.0
5192001,214,107452.0,404817.0
B45B0434001,2603,156614.0,414245.0
B40G1185001,422,202575.0,433534.0
B34B0211001,413,231803.58,473970.8
B46D1486001,840,194398.0,410896.0
B51B0295002,1807,152864.0,394121.0
B46B0704001,2140,194401.0,414891.0
B15E0241001,97,165475.0,545637.5
B51C0394001,1914,147917.0,380797.0
5355_PBF001,40,96084.0,398823.0
B39B0283001,1630,157056.89,448645.46
2035001,1065,130840.0,391035.0
B50F0633001,1065,130853.0,391034.0
B51C0355001,715,140140.0,377440.0
B52D2024001,1859,190322.0,381582.0
PEVE017002,1859,190322.0,381582.0
B52D1989002,1257,192810.0,381806.0
B51A1818001,1749,140522.0,396700.0
B52G2948001,1664,208578.0,377928.0
B51H0049002,2687,173835.0,376712.0
B51C0393001,416,148136.0,382291.0
8136001,205,79868.0,395972.0
5220_PBF001,1964,95979.0,382315.0
B32H0216003,1600,177575.0,450980.0
B57E0103002,2394,169410.0,364747.0
B50B1197001,920,112005.0,394097.0
B52E3251001,2186,205537.0,392988.0
B45B0407001,1526,156521.0,413762.0
B44D0291001,813,116108.0,403671.0
